Drug 1,Drug 2,Interaction Description
Valsartan,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Valsartan.
Dextroamphetamine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Dextroamphetamine.
Grazoprevir,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Grazoprevir.
Etravirine,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Etravirine.
Caffeine,Isavuconazonium,The metabolism of Isavuconazonium can be decreased when combined with Caffeine.
Salicylic acid,Isradipine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Isradipine.
Acetaminophen,Diltiazem,The metabolism of Diltiazem can be decreased when combined with Acetaminophen.
Salicylic acid,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Salicylic acid.
Nicotine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Nicotine.
Acetaminophen,Cobicistat,The serum concentration of Cobicistat can be increased when it is combined with Acetaminophen.
Nicotine,Darunavir,The serum concentration of Darunavir can be increased when it is combined with Nicotine.
Esomeprazole,Fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Esomeprazole.
Esomeprazole,Ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Esomeprazole.
Lidocaine,Netupitant,The serum concentration of Netupitant can be increased when it is combined with Lidocaine.
Balsalazide,Salicylic acid,Balsalazide may increase the nephrotoxic activities of Salicylic acid.
Fenoprofen,Salicylic acid,The risk or severity of adverse effects can be increased when Fenoprofen is combined with Salicylic acid.
Fosinopril,Salicylic acid,Fosinopril may decrease the antihypertensive activities of Salicylic acid.
Losartan,Salicylic acid,The metabolism of Salicylic acid can be decreased when combined with Losartan.
Cyclosporine,Ibuprofen,Cyclosporine may increase the nephrotoxic activities of Ibuprofen.
Digoxin,Ibuprofen,The serum concentration of Ibuprofen can be increased when it is combined with Digoxin.
Clotrimazole,Nicardipine,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Nicardipine.
Omeprazole,Dosulepin,The metabolism of Dosulepin can be decreased when combined with Omeprazole.
Nicotine,Dosulepin,The metabolism of Dosulepin can be decreased when combined with Nicotine.
Acetaminophen,Cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Acetaminophen.
Cortisone acetate,Tolbutamide,The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Cortisone acetate.
Cabergoline,Omeprazole,The risk or severity of adverse effects can be increased when Cabergoline is combined with Omeprazole.
Salicylic acid,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Salicylic acid.
Nicotine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Nicotine.
Podofilox,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Podofilox.
Etizolam,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Etizolam.
Brompheniramine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Brompheniramine.
Lidocaine,Zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Lidocaine.
Magnesium hydroxide,Fluvastatin,The serum concentration of Fluvastatin can be decreased when it is combined with Magnesium hydroxide.
Minoxidil,Mecamylamine,The risk or severity of adverse effects can be increased when Minoxidil is combined with Mecamylamine.
Minoxidil,Trandolapril,The risk or severity of adverse effects can be increased when Minoxidil is combined with Trandolapril.
Primidone,Nitroglycerin,Primidone may increase the hypotensive activities of Nitroglycerin.
Alfuzosin,Nitroglycerin,Alfuzosin may increase the hypotensive activities of Nitroglycerin.
Epoprostenol,Nitroglycerin,The risk or severity of adverse effects can be increased when Epoprostenol is combined with Nitroglycerin.
Sufentanil,Minoxidil,The risk or severity of adverse effects can be increased when Sufentanil is combined with Minoxidil.
Loratadine,Desloratadine,The risk or severity of adverse effects can be increased when Loratadine is combined with Desloratadine.
Lidocaine,Ketobemidone,The risk or severity of adverse effects can be increased when Lidocaine is combined with Ketobemidone.
Lidocaine,Sodium oxybate,Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.
Lidocaine,Fludiazepam,The risk or severity of adverse effects can be increased when Lidocaine is combined with Fludiazepam.
Aripiprazole,Benzocaine,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Benzocaine.
Fluphenazine,Benzocaine,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Benzocaine.
Morphine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Morphine is combined with Dimenhydrinate.
Lorazepam,Dimenhydrinate,The risk or severity of adverse effects can be increased when Lorazepam is combined with Dimenhydrinate.
Zotepine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Zotepine is combined with Dimenhydrinate.
Rifaximin,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Rifaximin.
Vincristine,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Vincristine.
Naloxegol,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Naloxegol.
Paraldehyde,Loratadine,Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Loratadine.
Ketazolam,Loratadine,The risk or severity of adverse effects can be increased when Ketazolam is combined with Loratadine.
Clotrimazole,Lercanidipine,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Lercanidipine.
Minoxidil,Bepridil,Minoxidil may increase the hypotensive activities of Bepridil.
Daunorubicin,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Daunorubicin.
Deferasirox,Lidocaine,The serum concentration of Lidocaine can be decreased when it is combined with Deferasirox.
Risperidone,Lidocaine,The risk or severity of adverse effects can be increased when Risperidone is combined with Lidocaine.
Estradiol,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Estradiol.
Esomeprazole,Ledipasvir,The serum concentration of Ledipasvir can be decreased when it is combined with Esomeprazole.
Caffeine,Azithromycin,The metabolism of Azithromycin can be decreased when combined with Caffeine.
Magnesium hydroxide,Rosuvastatin,The serum concentration of Rosuvastatin can be decreased when it is combined with Magnesium hydroxide.
Pazopanib,Acetaminophen,The serum concentration of Acetaminophen can be increased when it is combined with Pazopanib.
Doxorubicin,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Doxorubicin.
Bosutinib,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Bosutinib.
Nicergoline,Caffeine,The risk or severity of adverse effects can be increased when Nicergoline is combined with Caffeine.
Lidocaine,Ritonavir,The metabolism of Ritonavir can be decreased when combined with Lidocaine.
Famotidine,Dexmethylphenidate,Famotidine can cause an increase in the absorption of Dexmethylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Lopinavir,Famotidine,Lopinavir may increase the QTc-prolonging activities of Famotidine.
Tetrabenazine,Famotidine,Tetrabenazine may increase the QTc-prolonging activities of Famotidine.
Zinc oxide,Dolutegravir,The serum concentration of Dolutegravir can be decreased when it is combined with Zinc oxide.
Hydrocortisone,Gliclazide,The therapeutic efficacy of Gliclazide can be decreased when used in combination with Hydrocortisone.
Hydrocortisone,Tolazamide,The therapeutic efficacy of Tolazamide can be decreased when used in combination with Hydrocortisone.
Hydrocortisone,Echothiophate,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Echothiophate.
Metamfetamine,Calcium carbonate,Metamfetamine may decrease the excretion rate of Calcium carbonate which could result in a higher serum level.
Tubocurarine,Magnesium hydroxide,Tubocurarine may increase the neuromuscular blocking activities of Magnesium hydroxide.
Demeclocycline,Sodium bicarbonate,Demeclocycline can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Primaquine,Chloroxylenol,The serum concentration of Chloroxylenol can be decreased when it is combined with Primaquine.
Fluticasone propionate,Gemifloxacin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Gemifloxacin.
Calcium carbonate,Formestane,The bioavailability of Formestane can be decreased when combined with Calcium carbonate.
Magnesium hydroxide,Technetium Tc-99m medronate,The serum concentration of Technetium Tc-99m medronate can be decreased when it is combined with Magnesium hydroxide.
Oxprenolol,Fluticasone propionate,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Fluticasone propionate.
Bosutinib,Fluticasone propionate,The serum concentration of Fluticasone propionate can be increased when it is combined with Bosutinib.
Pravastatin,Fluticasone propionate,The serum concentration of Fluticasone propionate can be increased when it is combined with Pravastatin.
Calcium carbonate,Pamidronic acid,The serum concentration of Pamidronic acid can be decreased when it is combined with Calcium carbonate.
Flurbiprofen,Hydrocortisone,The risk or severity of adverse effects can be increased when Flurbiprofen is combined with Hydrocortisone.
Salicylic acid,Hydrochlorothiazide,The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Salicylic acid.
Sunitinib,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Sunitinib.
Imatinib,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Imatinib.
Indapamide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Indapamide.
Sorafenib,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Sorafenib.
Pergolide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Pergolide.
Levobupivacaine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Levobupivacaine.
Nicotine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Nicotine.
Vilazodone,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Vilazodone.
Omeprazole,Isavuconazonium,The metabolism of Isavuconazonium can be decreased when combined with Omeprazole.
Fluticasone propionate,Dronedarone,The metabolism of Dronedarone can be decreased when combined with Fluticasone propionate.
Omeprazole,Atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Omeprazole.
Cortisone acetate,Olaparib,The metabolism of Olaparib can be decreased when combined with Cortisone acetate.
Theobromine,Nicotine,The metabolism of Nicotine can be decreased when combined with Theobromine.
Loratadine,Idelalisib,The metabolism of Idelalisib can be decreased when combined with Loratadine.
Fluticasone propionate,Indinavir,The serum concentration of Indinavir can be increased when it is combined with Fluticasone propionate.
Hydrocortisone,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Hydrocortisone.
Caffeine,Dihydroergotamine,The metabolism of Dihydroergotamine can be decreased when combined with Caffeine.
Omeprazole,Itraconazole,The serum concentration of Itraconazole can be decreased when it is combined with Omeprazole.
Esomeprazole,Stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Esomeprazole.
Nicotine,Luliconazole,The serum concentration of Luliconazole can be increased when it is combined with Nicotine.
Mycophenolate mofetil,Salicylic acid,The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Salicylic acid.
Sitagliptin,Salicylic acid,Sitagliptin may increase the hypoglycemic activities of Salicylic acid.
Balsalazide,Ibuprofen,Balsalazide may increase the nephrotoxic activities of Ibuprofen.
Caffeine,Nicardipine,The metabolism of Nicardipine can be decreased when combined with Caffeine.
Benzocaine,Clomipramine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Clomipramine.
Lidocaine,Artemether,The metabolism of Artemether can be decreased when combined with Lidocaine.
Caffeine,Rolapitant,The metabolism of Rolapitant can be decreased when combined with Caffeine.
Lidocaine,Isoniazid,The metabolism of Isoniazid can be decreased when combined with Lidocaine.
Benzocaine,Duloxetine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Duloxetine.
Loratadine,Sorafenib,The metabolism of Sorafenib can be decreased when combined with Loratadine.
Nevirapine,Omeprazole,The metabolism of Omeprazole can be increased when combined with Nevirapine.
Cyclosporine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Cyclosporine.
Thiamylal,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Thiamylal.
Moclobemide,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Moclobemide.
Omeprazole,Modafinil,The metabolism of Modafinil can be decreased when combined with Omeprazole.
Caffeine,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Caffeine.
Risedronic acid,Esomeprazole,The serum concentration of Esomeprazole can be increased when it is combined with Risedronic acid.
Acetaminophen,Floxuridine,The metabolism of Floxuridine can be decreased when combined with Acetaminophen.
Calcium carbonate,Bosutinib,The serum concentration of Bosutinib can be decreased when it is combined with Calcium carbonate.
Clotrimazole,Saxagliptin,The serum concentration of Saxagliptin can be decreased when it is combined with Clotrimazole.
Calcium carbonate,Pazopanib,The serum concentration of Pazopanib can be decreased when it is combined with Calcium carbonate.
Nitroglycerin,Telmisartan,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Telmisartan.
Nitroglycerin,Nadolol,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Nadolol.
Dimenhydrinate,Rotigotine,Dimenhydrinate may increase the sedative activities of Rotigotine.
Paclitaxel,Nitroglycerin,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Nitroglycerin.
Losartan,Nitroglycerin,The risk or severity of adverse effects can be increased when Losartan is combined with Nitroglycerin.
Nitroglycerin,Amyl Nitrite,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Amyl Nitrite.
Minoxidil,Isosorbide mononitrate,The risk or severity of adverse effects can be increased when Minoxidil is combined with Isosorbide mononitrate.
Pentoxifylline,Minoxidil,Pentoxifylline may increase the hypotensive activities of Minoxidil.
Diazoxide,Minoxidil,Diazoxide may increase the hypotensive activities of Minoxidil.
Fluticasone propionate,Magnesium sulfate,Fluticasone propionate may increase the central nervous system depressant (CNS depressant) activities of Magnesium sulfate.
Benzocaine,Brexpiprazole,The risk or severity of adverse effects can be increased when Benzocaine is combined with Brexpiprazole.
Lidocaine,Triflupromazine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Triflupromazine.
Lidocaine,Articaine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Articaine.
Benzocaine,Amoxapine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Amoxapine.
Lidocaine,Brompheniramine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Brompheniramine.
Carbamazepine,Benzocaine,The risk or severity of adverse effects can be increased when Carbamazepine is combined with Benzocaine.
Butorphanol,Benzocaine,The risk or severity of adverse effects can be increased when Butorphanol is combined with Benzocaine.
Etomidate,Benzocaine,The risk or severity of adverse effects can be increased when Etomidate is combined with Benzocaine.
Azelastine,Dimenhydrinate,Azelastine may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.
Dextropropoxyphene,Dimenhydrinate,The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Dimenhydrinate.
Diethylpropion,Dimenhydrinate,Diethylpropion may decrease the sedative activities of Dimenhydrinate.
Remoxipride,Dimenhydrinate,The risk or severity of adverse effects can be increased when Remoxipride is combined with Dimenhydrinate.
Nortriptyline,Dimenhydrinate,The risk or severity of adverse effects can be increased when Nortriptyline is combined with Dimenhydrinate.
Eszopiclone,Dimenhydrinate,The risk or severity of adverse effects can be increased when Eszopiclone is combined with Dimenhydrinate.
Vemurafenib,Loratadine,The serum concentration of Loratadine can be decreased when it is combined with Vemurafenib.
Zuclopenthixol,Loratadine,The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Loratadine.
Thioridazine,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Thioridazine.
Dimenhydrinate,Desvenlafaxine,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Desvenlafaxine.
Conivaptan,Lidocaine,The serum concentration of Lidocaine can be increased when it is combined with Conivaptan.
Afatinib,Lidocaine,The serum concentration of Lidocaine can be increased when it is combined with Afatinib.
Lisuride,Lidocaine,The risk or severity of adverse effects can be increased when Lisuride is combined with Lidocaine.
Clomipramine,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Clomipramine.
Remifentanil,Lidocaine,The risk or severity of adverse effects can be increased when Remifentanil is combined with Lidocaine.
Codeine,Lidocaine,The risk or severity of adverse effects can be increased when Codeine is combined with Lidocaine.
Clotrimazole,Ledipasvir,The serum concentration of Ledipasvir can be decreased when it is combined with Clotrimazole.
Methohexital,Acetaminophen,The metabolism of Acetaminophen can be increased when combined with Methohexital.
Estradiol,Caffeine,The metabolism of Caffeine can be decreased when combined with Estradiol.
Acetaminophen,Mexiletine,The metabolism of Mexiletine can be decreased when combined with Acetaminophen.
Nitroglycerin,Pergolide,The bioavailability of Pergolide can be increased when combined with Nitroglycerin.
Cisapride,Famotidine,Cisapride may increase the QTc-prolonging activities of Famotidine.
Phentermine,Famotidine,Phentermine may decrease the sedative activities of Famotidine.
Delavirdine,Famotidine,Delavirdine can cause a decrease in the absorption of Famotidine resulting in a reduced serum concentration and potentially a decrease in efficacy.
Lidocaine,Tiapride,The risk or severity of adverse effects can be increased when Lidocaine is combined with Tiapride.
Fondaparinux,Methyl salicylate,Fondaparinux may increase the anticoagulant activities of Methyl salicylate.
Estrone,Ascorbic acid,The serum concentration of Ascorbic acid can be increased when it is combined with Estrone.
Fluphenazine,Calcium carbonate,Fluphenazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Sodium bicarbonate,Bismuth subcitrate potassium,The therapeutic efficacy of Bismuth subcitrate potassium can be decreased when used in combination with Sodium bicarbonate.
Perphenazine,Sodium bicarbonate,Perphenazine can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Ascorbic acid,Phentermine,The serum concentration of Phentermine can be decreased when it is combined with Ascorbic acid.
Bismuth subsalicylate,Chlortetracycline,The serum concentration of Chlortetracycline can be decreased when it is combined with Bismuth subsalicylate.
Kaolin,Ouabain,The serum concentration of Ouabain can be decreased when it is combined with Kaolin.
Salicylic acid,Estrone sulfate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Estrone sulfate.
Sodium bicarbonate,Budesonide,The bioavailability of Budesonide can be decreased when combined with Sodium bicarbonate.
Balsalazide,Cortisone acetate,The risk or severity of adverse effects can be increased when Balsalazide is combined with Cortisone acetate.
Ketoprofen,Cortisone acetate,The risk or severity of adverse effects can be increased when Ketoprofen is combined with Cortisone acetate.
Magnesium oxide,Cortisone acetate,The bioavailability of Cortisone acetate can be decreased when combined with Magnesium oxide.
Fenbufen,Fluticasone propionate,The risk or severity of adverse effects can be increased when Fenbufen is combined with Fluticasone propionate.
Icatibant,Fluticasone propionate,The risk or severity of adverse effects can be increased when Icatibant is combined with Fluticasone propionate.
Parecoxib,Fluticasone propionate,The risk or severity of adverse effects can be increased when Parecoxib is combined with Fluticasone propionate.
Protriptyline,Fluticasone propionate,The risk or severity of adverse effects can be increased when Protriptyline is combined with Fluticasone propionate.
Sodium bicarbonate,Ulobetasol,The bioavailability of Ulobetasol can be decreased when combined with Sodium bicarbonate.
Salicylic acid,Niflumic acid,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Niflumic acid.
Meclofenamic acid,Hydrocortisone,The risk or severity of adverse effects can be increased when Meclofenamic acid is combined with Hydrocortisone.
Indomethacin,Hydrocortisone,The risk or severity of adverse effects can be increased when Indomethacin is combined with Hydrocortisone.
Pitavastatin,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Pitavastatin.
Salicylic acid,Equilin,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Equilin.
Ibuprofen,Nimesulide,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Nimesulide.
Esomeprazole,Ibandronate,The therapeutic efficacy of Ibandronate can be decreased when used in combination with Esomeprazole.
Ibuprofen,Trichlormethiazide,The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Ibuprofen.
Ibuprofen,Quinethazone,The therapeutic efficacy of Quinethazone can be decreased when used in combination with Ibuprofen.
Esomeprazole,Erythromycin,The metabolism of Erythromycin can be decreased when combined with Esomeprazole.
Glimepiride,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Glimepiride.
Lovastatin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Lovastatin.
Imipramine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Imipramine.
Clomipramine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Clomipramine.
Salmeterol,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Salmeterol.
Sulfinpyrazone,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Sulfinpyrazone.
Isavuconazonium,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Isavuconazonium.
Lidocaine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Lidocaine.
Loratadine,Delavirdine,The metabolism of Delavirdine can be decreased when combined with Loratadine.
Edrophonium,Nicotine,The risk or severity of adverse effects can be increased when Edrophonium is combined with Nicotine.
Ondansetron,Nicotine,The metabolism of Nicotine can be decreased when combined with Ondansetron.
Nilvadipine,Nicotine,The metabolism of Nicotine can be decreased when combined with Nilvadipine.
Loratadine,Clarithromycin,The metabolism of Clarithromycin can be decreased when combined with Loratadine.
Hydrocortisone,Diltiazem,The metabolism of Diltiazem can be decreased when combined with Hydrocortisone.
Cortisone acetate,Fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Cortisone acetate.
Acetaminophen,Fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Acetaminophen.
Famotidine,Fosamprenavir,The serum concentration of Fosamprenavir can be decreased when it is combined with Famotidine.
Cortisone acetate,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Cortisone acetate.
Famotidine,Indinavir,The serum concentration of Indinavir can be decreased when it is combined with Famotidine.
Cortisone acetate,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Cortisone acetate.
Caffeine,Darunavir,The serum concentration of Darunavir can be increased when it is combined with Caffeine.
Hydrocortisone,Fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Hydrocortisone.
Cortisone acetate,Ivacaftor,The serum concentration of Ivacaftor can be increased when it is combined with Cortisone acetate.
Esomeprazole,Simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Esomeprazole.
Acetaminophen,Netupitant,The serum concentration of Netupitant can be increased when it is combined with Acetaminophen.
Clotrimazole,Fesoterodine,The serum concentration of the active metabolites of Fesoterodine can be increased when Fesoterodine is used in combination with Clotrimazole.
Valrubicin,Salicylic acid,Valrubicin may decrease the excretion rate of Salicylic acid which could result in a higher serum level.
Spectinomycin,Salicylic acid,Spectinomycin may decrease the excretion rate of Salicylic acid which could result in a higher serum level.
Eplerenone,Salicylic acid,Eplerenone may decrease the antihypertensive activities of Salicylic acid.
Benazepril,Salicylic acid,Benazepril may decrease the antihypertensive activities of Salicylic acid.
Enalaprilat,Salicylic acid,Enalaprilat may decrease the antihypertensive activities of Salicylic acid.
Labetalol,Ibuprofen,Labetalol may decrease the antihypertensive activities of Ibuprofen.
Phenindione,Ibuprofen,Phenindione may increase the anticoagulant activities of Ibuprofen.
Trandolapril,Ibuprofen,The risk or severity of adverse effects can be increased when Trandolapril is combined with Ibuprofen.
Ibuprofen,Felodipine,The metabolism of Felodipine can be decreased when combined with Ibuprofen.
Omeprazole,Felodipine,The metabolism of Felodipine can be decreased when combined with Omeprazole.
Hydrocortisone,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Hydrocortisone.
Famotidine,Sertraline,The metabolism of Sertraline can be decreased when combined with Famotidine.
Dimenhydrinate,Paroxetine,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Paroxetine.
Ibuprofen,Midostaurin,The metabolism of Midostaurin can be decreased when combined with Ibuprofen.
Salicylic acid,Quinine,The metabolism of Quinine can be decreased when combined with Salicylic acid.
Phenprocoumon,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Phenprocoumon.
Gliclazide,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Gliclazide.
Imipramine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Imipramine.
Trimethoprim,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Trimethoprim.
Nicotine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Nicotine.
Cortisone acetate,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Cortisone acetate.
Loratadine,Lumacaftor,The serum concentration of Lumacaftor can be increased when it is combined with Loratadine.
Lidocaine,Lumacaftor,The serum concentration of Lumacaftor can be increased when it is combined with Lidocaine.
Hydrocortisone,Fingolimod,Hydrocortisone may increase the immunosuppressive activities of Fingolimod.
Fluticasone propionate,Phenylacetic acid,The therapeutic efficacy of Phenylacetic acid can be decreased when used in combination with Fluticasone propionate.
Nitroglycerin,Quetiapine,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Quetiapine.
Minoxidil,Clonidine,The risk or severity of adverse effects can be increased when Minoxidil is combined with Clonidine.
Minoxidil,Levodopa,Minoxidil may increase the orthostatic hypotensive activities of Levodopa.
Benzocaine,Levodopa,The risk or severity of adverse effects can be increased when Benzocaine is combined with Levodopa.
Thioridazine,Nitroglycerin,The risk or severity of adverse effects can be increased when Thioridazine is combined with Nitroglycerin.
Thiamylal,Nitroglycerin,Thiamylal may increase the hypotensive activities of Nitroglycerin.
Amobarbital,Nitroglycerin,Amobarbital may increase the hypotensive activities of Nitroglycerin.
Aripiprazole,Nitroglycerin,Aripiprazole may increase the hypotensive activities of Nitroglycerin.
Fimasartan,Nitroglycerin,The risk or severity of adverse effects can be increased when Fimasartan is combined with Nitroglycerin.
Pramipexole,Nitroglycerin,The risk or severity of adverse effects can be increased when Pramipexole is combined with Nitroglycerin.
Phenelzine,Minoxidil,Phenelzine may increase the hypotensive activities of Minoxidil.
Benzocaine,Desloratadine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Desloratadine.
Lidocaine,Desloratadine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Desloratadine.
Dimenhydrinate,Metyrosine,Dimenhydrinate may increase the sedative activities of Metyrosine.
Fluticasone propionate,Brexpiprazole,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Brexpiprazole.
Lidocaine,Tasimelteon,The risk or severity of adverse effects can be increased when Lidocaine is combined with Tasimelteon.
Loratadine,Clidinium,The risk or severity of adverse effects can be increased when Loratadine is combined with Clidinium.
Lidocaine,Cyclizine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Cyclizine.
Benzocaine,Propoxycaine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Propoxycaine.
Isoflurane,Benzocaine,The risk or severity of adverse effects can be increased when Isoflurane is combined with Benzocaine.
Trifluoperazine,Benzocaine,The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Benzocaine.
Loratadine,Maprotiline,The risk or severity of adverse effects can be increased when Loratadine is combined with Maprotiline.
Reserpine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Reserpine is combined with Dimenhydrinate.
Thalidomide,Dimenhydrinate,Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.
Dextroamphetamine,Dimenhydrinate,Dextroamphetamine may decrease the sedative activities of Dimenhydrinate.
Carisoprodol,Dimenhydrinate,The risk or severity of adverse effects can be increased when Carisoprodol is combined with Dimenhydrinate.
Nintedanib,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Nintedanib.
Pimozide,Loratadine,The risk or severity of adverse effects can be increased when Pimozide is combined with Loratadine.
Sodium bicarbonate,Fexofenadine,The serum concentration of Fexofenadine can be decreased when it is combined with Sodium bicarbonate.
Acetaminophen,Ethanol,Acetaminophen may increase the hepatotoxic activities of Ethanol.
Lurasidone,Lidocaine,The risk or severity of adverse effects can be increased when Lurasidone is combined with Lidocaine.
Amitriptyline,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Amitriptyline.
Clotrimazole,Benidipine,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Benidipine.
Clotrimazole,Amrinone,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Amrinone.
Nicotine,Tipranavir,The metabolism of Tipranavir can be decreased when combined with Nicotine.
Caffeine,Lithium cation,The serum concentration of Lithium cation can be decreased when it is combined with Caffeine.
Gemifloxacin,Famotidine,Gemifloxacin may increase the QTc-prolonging activities of Famotidine.
Eliglustat,Famotidine,Eliglustat may increase the QTc-prolonging activities of Famotidine.
